code,obs,N,K,prob,avg,sd
002620,21,6,0.5,0.666666666666667,0.00642292301501866,0.0650950947668945
195870,15,7,1.4,0.533333333333333,-0.00101403942689243,0.0286087802094611
213500,13,4,1.1,0.615384615384615,0.00886989023932567,0.0231665164177159
001510,12,6,1.3,0.666666666666667,0.00940571774502441,0.0170137687863787
060980,11,15,1.6,0.818181818181818,0.00578714830683987,0.0114763537584883
002780,13,5,1.3,0.615384615384615,-0.0106842804868759,0.0541654502126345
001780,11,7,0.5,0.818181818181818,0.0161844065333099,0.0451481666278903
007810,12,12,1.2,0.583333333333333,0.0182393413138756,0.0278689454673128
190620,13,12,1.5,0.846153846153846,1.8657405965209e-05,2.05085780572945e-05
016710,19,16,1.4,0.736842105263158,0.00497191183729821,0.0185122107969592
000370,15,6,0.7,0.666666666666667,0.00733955757557639,0.031226241899462
019680,11,7,1.5,0.727272727272727,0.0127299294369683,0.0293898780487735
295040,16,7,1,0.6875,0.00113835258495154,0.00555893825262281
029460,16,7,0.9,0.625,0.00969369791098118,0.0304682946450026
002210,12,7,1.1,0.75,0.0314688032452889,0.0731054844486347
001725,11,14,1.9,0.727272727272727,-0.00251631674914243,0.0167768922357501
016800,14,23,1.1,0.928571428571429,0.00490436165935877,0.00362046318910911
017940,12,9,1.5,0.75,0.0116577833802,0.0228744421640363
068400,12,9,0.9,0.666666666666667,0.00657133904229805,0.0184039812839469
004690,11,9,0.8,0.727272727272727,0.00523329968506497,0.0117951814092809
004710,56,3,0.5,0.517857142857143,0.00266195448890952,0.0258195174670924
077500,18,3,1,0.611111111111111,0.00175675835263532,0.0227164136607639
002960,14,16,1.2,0.928571428571429,0.00573466339033299,0.0160536326312065
095720,12,5,1.2,0.583333333333333,0.0052203521819895,0.0291032798529923
001500,11,17,1.6,0.727272727272727,0.00539506819664272,0.0190703880596675
000050,16,8,1.4,0.5625,-0.00866146616428343,0.0508154992877209
094280,11,8,1.7,0.636363636363636,0.0120995781767927,0.0379945927795187
00088K,12,8,0.8,0.583333333333333,0.00179696146965114,0.0117996940230082
000480,12,24,0.9,0.75,0.00252693711016994,0.0127125849493315
192090,11,9,0.9,0.727272727272727,0.00267619866050352,0.00613102524442094
204480,13,11,1.6,0.615384615384615,0.0161562662450242,0.036145208528948
016580,15,8,0.9,0.733333333333333,0.00811909423871408,0.0162217050210463
122900,13,10,1.2,0.769230769230769,0.0102527179684367,0.0165778251779927
152330,12,9,0.5,0.75,0.00832342357778293,0.019961213116288
144620,11,12,1.2,0.636363636363636,0.0260566040975685,0.0392720105990203
037710,24,7,1,0.583333333333333,0.00566989673002831,0.0200765138954967
058650,11,17,0.7,0.636363636363636,0.00365197530217368,0.00760528620401777
002100,11,3,1,0.727272727272727,0.00907001268892364,0.0253966537438904
139260,11,7,1.5,0.545454545454545,0.00217775525511515,0.0099152143541697
001470,17,7,1.5,0.823529411764706,0.0235117682139055,0.0376365720938492
002240,13,10,1,0.769230769230769,0.0168934577380437,0.0850768421855543
002020,11,7,0.7,0.636363636363636,0.008236196624378,0.0230914812017468
079980,14,7,0.7,0.785714285714286,0.00891904514323448,0.0177701034712677
232080,11,10,1.8,0.636363636363636,0.00402102377654113,0.0103521354125922
28513K,11,6,0.5,0.818181818181818,0.00946398631574994,0.0183770817432249
001520,27,5,0.8,0.555555555555556,0.000380130503490966,0.0194692770959973
007690,24,5,0.6,0.583333333333333,0.00425496397660371,0.0213502372512928
005950,13,7,0.8,0.615384615384615,0.00157204814181424,0.0207613586204004
034120,14,11,1.1,0.857142857142857,0.0103093318938557,0.0204309160082696
214390,11,6,1.5,0.636363636363636,0.0056360192481913,0.0171419428643656
001130,15,3,1,0.666666666666667,0.0141161018754646,0.0274249116157936
003300,13,7,0.5,0.615384615384615,-0.000342086304995266,0.0232395343930221
003545,12,13,1.1,0.833333333333333,0.00529155471453816,0.00574411045909663
063160,11,11,1.1,0.636363636363636,-0.00472996901492176,0.0481527756454504
101530,14,7,0.7,0.785714285714286,0.012160703566568,0.034943928618171
033240,11,7,0.7,0.818181818181818,0.0141495492471592,0.0211668181653132
002990,14,6,1.3,0.571428571428571,0.00432307630253475,0.0281382321092153
002810,11,16,1.5,0.818181818181818,0.00391366035157326,0.0164481267530512
000430,14,10,1.3,0.714285714285714,0.000743338210431282,0.0211416120851888
033530,11,15,1.5,0.545454545454545,0.0011021871861623,0.0742698333122294
101060,14,9,1.1,0.714285714285714,0.0102663114525001,0.0203126045534877
005420,14,6,0.6,0.642857142857143,0.00787385634035458,0.0432262008461513
015860,12,12,1.7,0.666666666666667,0.025165364880053,0.0556643285727356
00104K,13,7,0.8,0.692307692307692,0.0105637417913069,0.0160437375504742
132030,23,4,0.9,0.695652173913044,0.00282955160332174,0.0047246933244713
005960,12,9,1,0.75,0.00348149133993629,0.026468380941306
306200,11,3,1,0.545454545454545,0.00743012411258448,0.0316704890163923
005390,13,4,1.2,0.692307692307692,0.00109556366211433,0.0452529552931225
017180,14,4,1.2,0.571428571428571,-0.00984143038631239,0.0420369043764924
314250,12,3,0.5,0.666666666666667,0.00190624313282302,0.0069131385390865
001360,17,7,1.4,0.588235294117647,0.00162735818784973,0.0420595375905098
001570,12,23,0.8,0.583333333333333,0.0144710550035,0.0254093383023761
036530,14,4,1.2,0.571428571428571,0.000364948447214987,0.0186860457946769
229640,11,7,0.5,0.545454545454545,0.00211142118188254,0.0131613309823184
004380,11,14,1.2,0.727272727272727,0.0238039243666481,0.0227910133502337
161000,11,7,0.9,0.636363636363636,0.0118059012891543,0.0218296923971876
025000,34,5,0.5,0.647058823529412,0.00743779625034816,0.0192611305183059
136490,12,8,0.6,0.666666666666667,0.00361893392765881,0.010637585699228
007340,11,7,1.2,0.545454545454545,-0.00120216391990269,0.0170320222497869
006840,13,17,1.3,0.692307692307692,0.0106421595182813,0.0164348033591545
267850,19,6,1,0.631578947368421,0.00118025573663797,0.033790631350356
183190,12,5,0.5,0.666666666666667,-0.000216711161776869,0.0127875750071573
004720,12,11,1.1,0.583333333333333,0.0043977348457959,0.0291416291871193
118000,11,7,1.6,0.818181818181818,0.0286843941656553,0.053774095236772
148070,11,14,1.5,0.727272727272727,0.000116691686721056,0.00282477272420607
002310,18,7,0.8,0.611111111111111,0.00322128164391946,0.0312653909018598
900140,13,10,1.3,0.846153846153846,0.00696261458757034,0.0142774798374937
001940,12,16,1.1,0.666666666666667,0.004309919839432,0.0100259851682541
104700,11,14,1.2,0.636363636363636,0.00595606098603938,0.01625018865168
001530,16,12,1.7,0.6875,0.00510046253723528,0.0341369496790214
029530,13,11,1.1,0.846153846153846,0.0127305411825899,0.0163250722364627
005720,19,7,0.8,0.789473684210526,0.00293585605564504,0.0102737855565759
